"","net","year","count","net1"
"1","General",1998,5,"General"
"2","General",1999,3,"General"
"3","General",2000,8,"General"
"4","General",2001,5,"General"
"5","General",2002,11,"General"
"6","General",2003,16,"General"
"7","General",2004,12,"General"
"8","General",2005,20,"General"
"9","General",2006,24,"General"
"10","General",2007,26,"General"
"11","General",2008,36,"General"
"12","General",2009,48,"General"
"13","General",2010,55,"General"
"14","General",2011,70,"General"
"15","General",2012,66,"General"
"16","General",2013,98,"General"
"17","General",2014,101,"General"
"18","General",2015,132,"General"
"19","General",2016,161,"General"
"20","General",2017,160,"General"
"21","AR",1998,4,"Afforestation/Reforestation (AR)"
"22","AR",1999,4,"Afforestation/Reforestation (AR)"
"23","AR",2000,13,"Afforestation/Reforestation (AR)"
"24","AR",2001,9,"Afforestation/Reforestation (AR)"
"25","AR",2002,18,"Afforestation/Reforestation (AR)"
"26","AR",2003,21,"Afforestation/Reforestation (AR)"
"27","AR",2004,24,"Afforestation/Reforestation (AR)"
"28","AR",2005,17,"Afforestation/Reforestation (AR)"
"29","AR",2006,21,"Afforestation/Reforestation (AR)"
"30","AR",2007,39,"Afforestation/Reforestation (AR)"
"31","AR",2008,29,"Afforestation/Reforestation (AR)"
"32","AR",2009,31,"Afforestation/Reforestation (AR)"
"33","AR",2010,40,"Afforestation/Reforestation (AR)"
"34","AR",2011,45,"Afforestation/Reforestation (AR)"
"35","AR",2012,52,"Afforestation/Reforestation (AR)"
"36","AR",2013,59,"Afforestation/Reforestation (AR)"
"37","AR",2014,62,"Afforestation/Reforestation (AR)"
"38","AR",2015,61,"Afforestation/Reforestation (AR)"
"39","AR",2016,69,"Afforestation/Reforestation (AR)"
"40","AR",2017,59,"Afforestation/Reforestation (AR)"
"41","BECCS",1998,1,"Bioenergy with Carbon Capture & Storage (BECCS)"
"42","BECCS",2003,1,"Bioenergy with Carbon Capture & Storage (BECCS)"
"43","BECCS",2004,2,"Bioenergy with Carbon Capture & Storage (BECCS)"
"44","BECCS",2005,2,"Bioenergy with Carbon Capture & Storage (BECCS)"
"45","BECCS",2006,2,"Bioenergy with Carbon Capture & Storage (BECCS)"
"46","BECCS",2007,1,"Bioenergy with Carbon Capture & Storage (BECCS)"
"47","BECCS",2008,8,"Bioenergy with Carbon Capture & Storage (BECCS)"
"48","BECCS",2009,4,"Bioenergy with Carbon Capture & Storage (BECCS)"
"49","BECCS",2010,16,"Bioenergy with Carbon Capture & Storage (BECCS)"
"50","BECCS",2011,13,"Bioenergy with Carbon Capture & Storage (BECCS)"
"51","BECCS",2012,24,"Bioenergy with Carbon Capture & Storage (BECCS)"
"52","BECCS",2013,24,"Bioenergy with Carbon Capture & Storage (BECCS)"
"53","BECCS",2014,35,"Bioenergy with Carbon Capture & Storage (BECCS)"
"54","BECCS",2015,31,"Bioenergy with Carbon Capture & Storage (BECCS)"
"55","BECCS",2016,36,"Bioenergy with Carbon Capture & Storage (BECCS)"
"56","BECCS",2017,47,"Bioenergy with Carbon Capture & Storage (BECCS)"
"57","Biochar",2007,2,"Biochar"
"58","Biochar",2008,3,"Biochar"
"59","Biochar",2009,8,"Biochar"
"60","Biochar",2010,32,"Biochar"
"61","Biochar",2011,40,"Biochar"
"62","Biochar",2012,52,"Biochar"
"63","Biochar",2013,54,"Biochar"
"64","Biochar",2014,80,"Biochar"
"65","Biochar",2015,74,"Biochar"
"66","Biochar",2016,108,"Biochar"
"67","Biochar",2017,102,"Biochar"
"68","BC",2008,1,"Blue Carbon (BC)"
"69","BC",2009,1,"Blue Carbon (BC)"
"70","BC",2010,2,"Blue Carbon (BC)"
"71","BC",2011,6,"Blue Carbon (BC)"
"72","BC",2012,9,"Blue Carbon (BC)"
"73","BC",2013,8,"Blue Carbon (BC)"
"74","BC",2014,23,"Blue Carbon (BC)"
"75","BC",2015,16,"Blue Carbon (BC)"
"76","BC",2016,26,"Blue Carbon (BC)"
"77","BC",2017,29,"Blue Carbon (BC)"
