"","ID","model","term","estimate","conf.low","conf.high","statistic","p.value"
"1","1","1","AR",1.03,0.92,1.16,0.54,0.59
"2","1","1","BC",2.07,1.67,2.56,6.64,0
"3","1","1","BECCS",1.22,1,1.47,2,0.05
"4","1","1","Biochar",2.11,1.87,2.39,12.1,0
"5","1","1","DAC",1.53,1.29,1.81,4.83,0
"6","1","1","EW",1.36,1.04,1.78,2.28,0.02
"7","1","1","General",1.39,1.26,1.53,6.77,0
"8","1","1","OF",0.71,0.54,0.93,-2.46,0.01
"9","1","1","SCS",1.27,1.11,1.45,3.49,0
"10","1","2","AR",0.99,0.88,1.11,-0.16,0.87
"11","1","2","BC",1.95,1.57,2.41,6.1,0
"12","1","2","BECCS",1.1,0.91,1.34,1,0.32
"13","1","2","Biochar",2.1,1.86,2.37,11.95,0
"14","1","2","DAC",1.48,1.24,1.76,4.43,0
"15","1","2","EW",1.35,1.04,1.76,2.22,0.03
"16","1","2","General",1.32,1.2,1.45,5.77,0
"17","1","2","OF",0.66,0.5,0.86,-3.06,0
"18","1","2","SCS",1.21,1.06,1.39,2.77,0.01
"19","1","3","AR",1.05,0.94,1.18,0.87,0.38
"20","1","3","BC",2.06,1.67,2.55,6.69,0
"21","1","3","BECCS",1.24,1.03,1.5,2.25,0.02
"22","1","3","Biochar",2.18,1.93,2.46,12.66,0
"23","1","3","DAC",1.48,1.24,1.75,4.44,0
"24","1","3","EW",1.3,1,1.7,1.96,0.05
"25","1","3","General",1.4,1.27,1.54,6.97,0
"26","1","3","OF",0.66,0.5,0.86,-3.05,0
"27","1","3","SCS",1.28,1.12,1.46,3.57,0
"28","1","4","AR",1.02,0.91,1.15,0.34,0.73
"29","1","4","BC",2.04,1.65,2.53,6.51,0
"30","1","4","BECCS",1.2,0.99,1.46,1.83,0.07
"31","1","4","Biochar",2.04,1.8,2.3,11.35,0
"32","1","4","DAC",1.51,1.27,1.79,4.61,0
"33","1","4","EW",1.23,0.94,1.6,1.49,0.14
"34","1","4","General",1.33,1.21,1.47,5.84,0
"35","1","4","OF",0.53,0.4,0.7,-4.48,0
"36","1","4","SCS",1.21,1.06,1.39,2.75,0.01
"37","1","5","AR",1.04,0.93,1.17,0.7,0.49
"38","1","5","BC",2.04,1.64,2.54,6.46,0
"39","1","5","BECCS",1.15,0.95,1.4,1.44,0.15
"40","1","5","Biochar",2.14,1.89,2.42,12.1,0
"41","1","5","DAC",1.49,1.25,1.77,4.45,0
"42","1","5","EW",1.21,0.93,1.59,1.42,0.16
"43","1","5","General",1.37,1.24,1.51,6.38,0
"44","1","5","OF",0.58,0.44,0.76,-3.92,0
"45","1","5","SCS",1.26,1.1,1.45,3.39,0
"46","1","6","AR",1.03,0.92,1.16,0.53,0.6
"47","1","6","BC",2.1,1.7,2.6,6.89,0
"48","1","6","BECCS",1.18,0.98,1.43,1.72,0.09
"49","1","6","Biochar",2.18,1.93,2.46,12.67,0
"50","1","6","DAC",1.52,1.28,1.8,4.78,0
"51","1","6","EW",1.39,1.07,1.8,2.44,0.01
"52","1","6","General",1.34,1.22,1.48,6.16,0
"53","1","6","OF",0.67,0.51,0.88,-2.89,0
"54","1","6","SCS",1.22,1.06,1.39,2.85,0
"55","1","7","AR",1.05,0.94,1.18,0.85,0.4
"56","1","7","BC",2.07,1.68,2.56,6.82,0
"57","1","7","BECCS",1.25,1.03,1.51,2.3,0.02
"58","1","7","Biochar",2.12,1.88,2.39,12.39,0
"59","1","7","DAC",1.55,1.31,1.84,5.07,0
"60","1","7","EW",1.27,0.98,1.65,1.83,0.07
"61","1","7","General",1.38,1.25,1.51,6.7,0
"62","1","7","OF",0.62,0.47,0.81,-3.56,0
"63","1","7","SCS",1.28,1.12,1.46,3.61,0
"64","1","8","AR",1.04,0.93,1.17,0.67,0.5
"65","1","8","BC",2.12,1.71,2.63,6.86,0
"66","1","8","BECCS",1.15,0.95,1.4,1.46,0.14
"67","1","8","Biochar",2.19,1.94,2.47,12.68,0
"68","1","8","DAC",1.52,1.28,1.8,4.8,0
"69","1","8","EW",1.46,1.12,1.9,2.82,0
