"","ID","model","term","estimate","conf.low","conf.high","statistic","p.value"
"1","1","1","Conventional",1.4,1.23,1.58,5.22,0
"2","1","1","Novel",1.41,1.29,1.53,7.95,0
"3","1","2","Conventional",1.37,1.21,1.56,4.98,0
"4","1","2","Novel",1.36,1.25,1.48,7.27,0
"5","1","3","Conventional",1.45,1.28,1.64,5.92,0
"6","1","3","Novel",1.4,1.29,1.52,7.9,0
"7","1","4","Conventional",1.45,1.28,1.64,5.79,0
"8","1","4","Novel",1.45,1.34,1.58,8.82,0
"9","1","5","Conventional",1.47,1.3,1.67,6.1,0
"10","1","5","Novel",1.47,1.35,1.59,9.03,0
"11","1","6","Conventional",1.55,1.37,1.75,6.87,0
"12","1","6","Novel",1.51,1.39,1.64,9.64,0
"13","1","7","Conventional",1.51,1.33,1.71,6.48,0
"14","1","7","Novel",1.46,1.35,1.59,8.97,0
"15","1","8","Conventional",1.28,1.12,1.45,3.75,0
"16","1","8","Novel",1.28,1.17,1.39,5.65,0
"17","1","9","Conventional",1.4,1.23,1.59,5.12,0
"18","1","9","Novel",1.39,1.28,1.51,7.55,0
"19","1","10","Conventional",1.27,1.12,1.45,3.72,0
"20","1","10","Novel",1.31,1.2,1.43,6.23,0
"21","1","11","Conventional",1.41,1.25,1.6,5.44,0
"22","1","11","Novel",1.45,1.33,1.57,8.65,0
"23","1","12","Conventional",1.35,1.19,1.53,4.69,0
"24","1","12","Novel",1.36,1.25,1.48,7.17,0
"25","1","13","Conventional",1.36,1.2,1.54,4.78,0
"26","1","13","Novel",1.35,1.24,1.47,7.01,0
"27","1","14","Conventional",1.33,1.18,1.51,4.52,0
"28","1","14","Novel",1.36,1.25,1.48,7.19,0
"29","1","15","Conventional",1.36,1.2,1.55,4.74,0
"30","1","15","Novel",1.36,1.25,1.48,7.03,0
"31","1","16","Conventional",1.34,1.18,1.51,4.58,0
"32","1","16","Novel",1.33,1.22,1.44,6.63,0
"33","1","17","Conventional",1.4,1.23,1.58,5.22,0
"34","1","17","Novel",1.35,1.24,1.47,7.01,0
"35","1","18","Conventional",1.33,1.17,1.51,4.35,0
"36","1","18","Novel",1.31,1.2,1.43,6.21,0
"37","1","19","Conventional",1.34,1.18,1.53,4.49,0
"38","1","19","Novel",1.29,1.18,1.4,5.77,0
"39","1","20","Conventional",1.45,1.28,1.64,5.91,0
"40","1","20","Novel",1.44,1.32,1.56,8.65,0
"41","1","21","Conventional",1.48,1.3,1.68,6.08,0
"42","1","21","Novel",1.44,1.33,1.57,8.54,0
"43","1","22","Conventional",1.32,1.16,1.5,4.22,0
"44","1","22","Novel",1.29,1.18,1.41,5.8,0
"45","1","23","Conventional",1.41,1.24,1.6,5.35,0
"46","1","23","Novel",1.42,1.31,1.55,8.32,0
"47","1","24","Conventional",1.45,1.28,1.65,5.88,0
"48","1","24","Novel",1.41,1.29,1.53,7.98,0
"49","1","25","Conventional",1.41,1.24,1.59,5.35,0
"50","1","25","Novel",1.38,1.27,1.5,7.59,0
"51","1","26","Conventional",1.42,1.25,1.61,5.54,0
