"","country","variable","value"
"1","ARGENTINA","AR",2.50477786422487
"2","AUSTRALIA","AR",1.17964812125293
"3","AUSTRIA","AR",NA
"4","BANGLADESH","AR",NA
"5","BELGIUM","AR",1.21555396352089
"6","BRAZIL","AR",1.42886490002142
"7","CANADA","AR",1.40509931840794
"8","CHILE","AR",NA
"9","CHINA","AR",1.41262779888481
"10","COLOMBIA","AR",NA
"11","DENMARK","AR",NA
"12","ENGLAND","AR",NA
"13","FINLAND","AR",1.26448930826811
"14","FRANCE","AR",NA
"15","GERMANY","AR",NA
"16","GREECE","AR",NA
"17","INDIA","AR",NA
"18","INDONESIA","AR",NA
"19","IRAN","AR",2.02151909150757
"20","IRELAND","AR",1.43752468729427
"21","ISRAEL","AR",NA
"22","ITALY","AR",NA
"23","JAPAN","AR",NA
"24","KENYA","AR",NA
"25","MALAYSIA","AR",NA
"26","MEXICO","AR",1.25783410138249
"27","NETHERLANDS","AR",NA
"28","NEW ZEALAND","AR",1.13283195466125
"29","NORWAY","AR",NA
"30","PAKISTAN","AR",NA
"31","PANAMA","AR",2.28697109342271
"32","PHILIPPINES","AR",1.43752468729427
"33","POLAND","AR",1.19793723941189
"34","PORTUGAL","AR",1.19793723941189
"35","RUSSIA","AR",1.43752468729427
"36","SAUDI ARABIA","AR",NA
"37","SCOTLAND","AR",NA
"38","SINGAPORE","AR",NA
"39","SOUTH AFRICA","AR",1.99656206568649
"40","SOUTH KOREA","AR",NA
"41","SPAIN","AR",1.03764986230749
"42","SWEDEN","AR",NA
"43","SWITZERLAND","AR",NA
"44","TAIWAN","AR",1.02680334806734
"45","TURKEY","AR",2.94039140582919
"46","USA","AR",1.01415195546396
"47","WALES","AR",NA
"48","ARGENTINA","BC",NA
"49","AUSTRALIA","BC",2.19655338912904
"50","AUSTRIA","BC",NA
"51","BANGLADESH","BC",4.48439211391019
"52","BELGIUM","BC",NA
"53","BRAZIL","BC",NA
"54","CANADA","BC",NA
"55","CHILE","BC",1.4947973713034
"56","CHINA","BC",NA
"57","COLOMBIA","BC",4.11069277108434
"58","DENMARK","BC",NA
"59","ENGLAND","BC",NA
"60","FINLAND","BC",NA
"61","FRANCE","BC",NA
"62","GERMANY","BC",NA
"63","GREECE","BC",2.52965708989805
"64","INDIA","BC",1.53781312299558
"65","INDONESIA","BC",8.52588130298974
"66","IRAN","BC",NA
"67","IRELAND","BC",NA
"68","ISRAEL","BC",NA
"69","ITALY","BC",NA
"70","JAPAN","BC",NA
"71","KENYA","BC",5.19245402663285
"72","MALAYSIA","BC",NA
"73","MEXICO","BC",NA
"74","NETHERLANDS","BC",NA
"75","NEW ZEALAND","BC",NA
"76","NORWAY","BC",NA
"77","PAKISTAN","BC",NA
"78","PANAMA","BC",2.98959474260679
"79","PHILIPPINES","BC",3.28855421686747
"80","POLAND","BC",NA
"81","PORTUGAL","BC",NA
"82","RUSSIA","BC",NA
"83","SAUDI ARABIA","BC",1.82697456492637
"84","SCOTLAND","BC",NA
"85","SINGAPORE","BC",2.74046184738956
"86","SOUTH AFRICA","BC",NA
"87","SOUTH KOREA","BC",1.26482854494903
"88","SPAIN","BC",1.62111827592058
"89","SWEDEN","BC",1.06771240807385
"90","SWITZERLAND","BC",NA
"91","TAIWAN","BC",NA
"92","TURKEY","BC",NA
"93","USA","BC",1.28091539448733
"94","WALES","BC",1.82697456492637
"95","ARGENTINA","BECCS",NA
"96","AUSTRALIA","BECCS",NA
"97","AUSTRIA","BECCS",4.31942342094399
"98","BANGLADESH","BECCS",NA
"99","BELGIUM","BECCS",NA
"100","BRAZIL","BECCS",NA
"101","CANADA","BECCS",NA
"102","CHILE","BECCS",1.77557326394536
"103","CHINA","BECCS",NA
"104","COLOMBIA","BECCS",2.44141323792487
"105","DENMARK","BECCS",NA
"106","ENGLAND","BECCS",1.94748570424064
"107","FINLAND","BECCS",2.5318359504406
"108","FRANCE","BECCS",1.66546019331309
"109","GERMANY","BECCS",1.29424316227342
"110","GREECE","BECCS",2.25361221962295
"111","INDIA","BECCS",1.26461692899705
"112","INDONESIA","BECCS",NA
"113","IRAN","BECCS",NA
"114","IRELAND","BECCS",NA
"115","ISRAEL","BECCS",NA
"116","ITALY","BECCS",NA
"117","JAPAN","BECCS",2.09840476648088
"118","KENYA","BECCS",NA
"119","MALAYSIA","BECCS",1.70898926654741
"120","MEXICO","BECCS",1.46484794275492
"121","NETHERLANDS","BECCS",2.74000334616028
"122","NEW ZEALAND","BECCS",NA
"123","NORWAY","BECCS",2.44141323792487
"124","PAKISTAN","BECCS",NA
"125","PANAMA","BECCS",NA
"126","PHILIPPINES","BECCS",1.3020870602266
"127","POLAND","BECCS",2.60417412045319
"128","PORTUGAL","BECCS",1.86012437175228
"129","RUSSIA","BECCS",NA
"130","SAUDI ARABIA","BECCS",NA
"131","SCOTLAND","BECCS",1.08507255018883
"132","SINGAPORE","BECCS",NA
"133","SOUTH AFRICA","BECCS",NA
"134","SOUTH KOREA","BECCS",NA
"135","SPAIN","BECCS",1.10035526216332
"136","SWEDEN","BECCS",3.29749320446995
"137","SWITZERLAND","BECCS",NA
"138","TAIWAN","BECCS",NA
"139","TURKEY","BECCS",NA
"140","USA","BECCS",1.00140638375932
"141","WALES","BECCS",NA
"142","ARGENTINA","Biochar",NA
"143","AUSTRALIA","Biochar",1.1931656553794
"144","AUSTRIA","Biochar",NA
"145","BANGLADESH","Biochar",NA
"146","BELGIUM","Biochar",1.23506787330317
"147","BRAZIL","Biochar",NA
"148","CANADA","Biochar",NA
"149","CHILE","Biochar",2.12082362082362
"150","CHINA","Biochar",1.26482854494903
"151","COLOMBIA","Biochar",1.16645299145299
"152","DENMARK","Biochar",2.22181522181522
"153","ENGLAND","Biochar",NA
"154","FINLAND","Biochar",NA
"155","FRANCE","Biochar",NA
"156","GERMANY","Biochar",1.20861394295129
"157","GREECE","Biochar",1.79454306377383
"158","INDIA","Biochar",NA
"159","INDONESIA","Biochar",NA
"160","IRAN","Biochar",NA
"161","IRELAND","Biochar",1.55527065527066
"162","ISRAEL","Biochar",2.7012595591543
"163","ITALY","Biochar",1.61748148148148
"164","JAPAN","Biochar",NA
"165","KENYA","Biochar",NA
"166","MALAYSIA","Biochar",2.09961538461538
"167","MEXICO","Biochar",NA
"168","NETHERLANDS","Biochar",NA
"169","NEW ZEALAND","Biochar",NA
"170","NORWAY","Biochar",1.43563445101907
"171","PAKISTAN","Biochar",2.83281440781441
"172","PANAMA","Biochar",NA
"173","PHILIPPINES","Biochar",NA
"174","POLAND","Biochar",NA
"175","PORTUGAL","Biochar",NA
"176","RUSSIA","Biochar",NA
"177","SAUDI ARABIA","Biochar",3.11054131054131
"178","SCOTLAND","Biochar",1.31962358629025
