"","net","country","total","tech_perc","policy_perc","media_perc","public_perc","rank"
"1","AR","ARGENTINA",8,0,0.625,0.625,0.875,15
"2","AR","AUSTRALIA",53,0.0188679245283019,0.433962264150943,0.339622641509434,0.528301886792453,3
"3","AR","AUSTRIA",3,0,0.333333333333333,0.666666666666667,0.666666666666667,26
"4","AR","BELGIUM",15,0,0.533333333333333,0.266666666666667,0.733333333333333,9
"5","AR","BRAZIL",5,0,0.2,0.4,0.4,19
"6","AR","CANADA",37,0,0.513513513513513,0.243243243243243,0.648648648648649,4
"7","AR","CHINA",59,0,0.372881355932203,0.457627118644068,0.677966101694915,2
"8","AR","COSTA RICA",3,0,0.666666666666667,0.333333333333333,0.666666666666667,26
"9","AR","CZECH REPUBLIC",3,0,0.333333333333333,1,1,26
"10","AR","DENMARK",10,0,0.5,0.6,0.8,13
"11","AR","ECUADOR",4,0,0.5,0.25,0.75,23
"12","AR","ENGLAND",33,0,0.545454545454545,0.484848484848485,0.696969696969697,5
"13","AR","FINLAND",12,0,0.583333333333333,0.583333333333333,0.833333333333333,10
"14","AR","FRANCE",11,0,0.636363636363636,0.818181818181818,1,12
"15","AR","GERMANY",31,0,0.516129032258065,0.451612903225806,0.774193548387097,6
"16","AR","INDIA",4,0,0.5,0.25,0.75,23
"17","AR","INDONESIA",3,0,0.666666666666667,0.333333333333333,1,26
"18","AR","IRELAND",5,0,0.4,0.6,0.8,19
"19","AR","ISRAEL",3,0,1,0,1,26
"20","AR","ITALY",7,0,0.285714285714286,0.142857142857143,0.285714285714286,16
"21","AR","KENYA",3,0,0.333333333333333,0.333333333333333,0.666666666666667,26
"22","AR","MEXICO",4,0,0.75,0.25,1,23
"23","AR","NETHERLANDS",20,0,0.5,0.35,0.6,8
"24","AR","NEW ZEALAND",12,0,0.5,0.25,0.666666666666667,10
"25","AR","NORWAY",3,0,0.333333333333333,1,1,26
"26","AR","PANAMA",5,0,0.4,0.2,0.6,19
"27","AR","PERU",3,0,0.333333333333333,0.666666666666667,0.666666666666667,26
"28","AR","SCOTLAND",9,0,0.555555555555556,0.555555555555556,0.666666666666667,14
"29","AR","SOUTH AFRICA",5,0,0.2,1,1,19
"30","AR","SOUTH KOREA",3,0,0.333333333333333,0.666666666666667,1,26
"31","AR","SPAIN",21,0,0.333333333333333,0.380952380952381,0.666666666666667,7
"32","AR","SWEDEN",7,0,0.428571428571429,0.571428571428571,0.714285714285714,16
"33","AR","SWITZERLAND",7,0,0.428571428571429,0.571428571428571,0.571428571428571,16
"34","AR","USA",120,0,0.475,0.458333333333333,0.725,1
"35","AR","WALES",3,0,0,0.666666666666667,0.666666666666667,26
"36","BC","AUSTRALIA",33,0,0.454545454545455,0.787878787878788,0.818181818181818,2
"37","BC","CANADA",3,0,1,1,1,9
"38","BC","CHINA",5,0,0.2,0.2,0.4,6
"39","BC","ENGLAND",7,0,0.571428571428571,1,1,5
"40","BC","GERMANY",3,0,0.333333333333333,0.666666666666667,0.666666666666667,9
"41","BC","INDONESIA",8,0,0.625,1,1,4
"42","BC","KENYA",3,0,0.666666666666667,0.666666666666667,0.666666666666667,9
"43","BC","NETHERLANDS",4,0,0,0.75,0.75,7
"44","BC","SCOTLAND",3,0,0.666666666666667,1,1,9
"45","BC","SPAIN",9,0,0.444444444444444,0.777777777777778,0.777777777777778,3
"46","BC","SWEDEN",3,0,0.333333333333333,1,1,9
"47","BC","TANZANIA",3,0,0,1,1,9
"48","BC","USA",34,0,0.588235294117647,0.882352941176471,0.911764705882353,1
"49","BC","VIETNAM",4,0,0.5,0.5,0.75,7
"50","BC","WALES",3,0,0.666666666666667,0.666666666666667,0.666666666666667,9
"51","BECCS","AUSTRALIA",6,0,0.166666666666667,0.833333333333333,0.833333333333333,12
"52","BECCS","AUSTRIA",9,0,0.777777777777778,0.666666666666667,1,6
"53","BECCS","BRAZIL",4,0.25,0.25,0.5,0.75,16
"54","BECCS","CANADA",4,0,0.5,0.5,1,16
"55","BECCS","CHINA",8,0,0.5,0.625,0.75,8
"56","BECCS","DENMARK",3,0,0,0.666666666666667,0.666666666666667,18
"57","BECCS","ENGLAND",29,0.0689655172413793,0.586206896551724,0.758620689655172,0.827586206896552,2
"58","BECCS","FINLAND",5,0,0.6,0.4,0.6,15
"59","BECCS","FRANCE",8,0,0.875,0.875,1,8
"60","BECCS","GERMANY",13,0,0.615384615384615,0.769230769230769,0.846153846153846,4
"61","BECCS","GREECE",3,0,0.333333333333333,0.666666666666667,0.666666666666667,18
"62","BECCS","INDIA",3,0.333333333333333,0.333333333333333,0.666666666666667,1,18
"63","BECCS","ITALY",6,0,0.666666666666667,1,1,12
"64","BECCS","JAPAN",7,0,0.571428571428571,0.714285714285714,1,11
"65","BECCS","NETHERLANDS",15,0.0666666666666667,0.666666666666667,0.733333333333333,0.866666666666667,3
"66","BECCS","NORWAY",9,0,0.111111111111111,0.777777777777778,0.777777777777778,6
"67","BECCS","SCOTLAND",8,0.25,0.625,0.75,0.875,8
"68","BECCS","SOUTH KOREA",3,0,0.666666666666667,0.666666666666667,1,18
"69","BECCS","SPAIN",6,0.166666666666667,0.5,0.666666666666667,0.833333333333333,12
"70","BECCS","SWEDEN",12,0.166666666666667,0.666666666666667,0.5,0.75,5
"71","BECCS","USA",34,0.0588235294117647,0.5,0.823529411764706,0.882352941176471,1
"72","Biochar","AUSTRALIA",63,0.0634920634920635,0.158730158730159,0.428571428571429,0.46031746031746,2
"73","Biochar","AUSTRIA",7,0,0.285714285714286,0.571428571428571,0.714285714285714,17
"74","Biochar","BELGIUM",11,0,0.0909090909090909,0.727272727272727,0.727272727272727,10
"75","Biochar","BRAZIL",6,0.166666666666667,0.166666666666667,0.666666666666667,0.666666666666667,18
"76","Biochar","CANADA",14,0.0714285714285714,0.0714285714285714,0.928571428571429,1,8
"77","Biochar","CHINA",47,0.0851063829787234,0.127659574468085,0.638297872340426,0.702127659574468,3
"78","Biochar","DENMARK",6,0.166666666666667,0.5,1,1,18
"79","Biochar","ENGLAND",29,0.103448275862069,0.413793103448276,0.517241379310345,0.655172413793103,5
"80","Biochar","FINLAND",4,0.25,0.75,0.75,1,27
"81","Biochar","FRANCE",5,0.2,0,0.6,0.6,23
